,uid,first_seen,last_seen,stream_count,comment_count
35738276,35738276,2020-12-15,2022-05-11,218,11806
3127290,3127290,2020-12-12,2022-05-08,270,1667
562642957,562642957,2020-12-12,2022-05-11,281,5717
159081833,159081833,2020-12-15,2022-05-11,35,269
545812687,545812687,2020-12-11,2022-05-11,37,826
90144,90144,2020-12-12,2022-05-11,107,435
111266329,111266329,2020-12-15,2022-05-11,22,48
5660573,5660573,2020-12-11,2022-05-11,25,112
825456,825456,2020-12-15,2022-05-11,33,71
12659322,12659322,2020-12-23,2022-05-08,64,2260
7960197,7960197,2020-12-25,2022-05-11,25,212
22257578,22257578,2020-12-11,2022-05-11,140,2304
10797522,10797522,2020-12-23,2022-05-11,85,1066
7088177,7088177,2020-12-11,2022-05-11,43,116
24503488,24503488,2020-12-12,2022-05-11,22,383
3195047,3195047,2020-12-12,2022-05-11,11,46
321301326,321301326,2020-12-23,2022-05-11,119,1657
12194582,12194582,2020-12-25,2022-05-08,143,738
7085311,7085311,2020-12-12,2022-05-11,206,2688
6957304,6957304,2020-12-26,2022-05-08,189,806
393507740,393507740,2020-12-11,2022-05-11,80,878
86427723,86427723,2020-12-20,2022-05-08,389,2715
36135689,36135689,2020-12-26,2022-05-08,348,6482
12072956,12072956,2020-12-30,2022-05-11,54,1074
130971112,130971112,2020-12-30,2022-05-11,89,184
29180928,29180928,2020-12-30,2022-05-08,258,844
253138334,253138334,2020-12-26,2022-05-11,134,2138
1843603,1843603,2020-12-30,2022-05-08,20,60
19228110,19228110,2020-12-30,2022-05-11,62,134
10722620,10722620,2020-12-30,2022-05-08,391,5133
33112508,33112508,2020-12-30,2022-05-11,245,2284
18198051,18198051,2020-12-30,2022-05-11,43,232
153544252,153544252,2020-12-30,2022-05-11,271,8693
444714,444714,2020-12-30,2022-05-08,297,2289
178439837,178439837,2020-12-26,2022-05-11,50,206
475841,475841,2021-02-04,2022-05-11,167,1120
2689150,2689150,2021-01-02,2022-05-11,177,2938
19319779,19319779,2021-01-28,2022-05-11,48,2709
4916338,4916338,2021-01-23,2022-05-11,24,142
25131822,25131822,2021-02-04,2022-05-08,94,1371
36174888,36174888,2021-01-06,2022-05-11,54,278
2341431,2341431,2021-01-06,2022-05-11,399,13319
20294039,20294039,2021-01-21,2022-05-11,18,2783
15696986,15696986,2020-12-24,2022-05-11,42,180
474866343,474866343,2021-01-22,2022-05-11,199,1791
37780699,37780699,2021-01-30,2022-05-08,284,14469
174887749,174887749,2021-01-21,2022-05-11,195,7052
3248185,3248185,2021-02-04,2022-05-08,119,388
10517285,10517285,2021-01-28,2022-05-08,140,1469
97388104,97388104,2020-12-11,2022-05-11,57,388
12196535,12196535,2021-01-08,2022-05-11,43,223
